source	target	value	LR_pair	model	tissue	strain	treatment	interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2
Neuronal	EC	0.0334300405405358	Sema3c_NRP1_PLXNA2	Salt-sensitive	LV	SD	LS	Sema3c_NRP1_PLXNA2	SEMA3	Sema3c	NRP1_PLXNA2					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_PLXNA2)
Neuronal	CM	0.0232851394714345	Sema3c_NRP1_PLXNA4	Salt-sensitive	LV	SD	LS	Sema3c_NRP1_PLXNA4	SEMA3	Sema3c	NRP1_PLXNA4					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_PLXNA4)
Neuronal	EC	0.034064276616664	Sema3c_NRP1_PLXNA4	Salt-sensitive	LV	SD	LS	Sema3c_NRP1_PLXNA4	SEMA3	Sema3c	NRP1_PLXNA4					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_PLXNA4)
Neuronal	EC	0.0162639293605367	Sema3c_NRP2_PLXNA2	Salt-sensitive	LV	SD	LS	Sema3c_NRP2_PLXNA2	SEMA3	Sema3c	NRP2_PLXNA2					PMID: 27533782	Secreted Signaling	Sema3c - (NRP2_PLXNA2)
Neuronal	EC	0.0165780751015253	Sema3c_NRP2_PLXNA4	Salt-sensitive	LV	SD	LS	Sema3c_NRP2_PLXNA4	SEMA3	Sema3c	NRP2_PLXNA4					PMID: 27533782	Secreted Signaling	Sema3c - (NRP2_PLXNA4)
Neuronal	EC	0.0251127065019241	Sema3c_NRP1_NRP2	Salt-sensitive	LV	SD	LS	Sema3c_NRP1_NRP2	SEMA3	Sema3c	NRP1_NRP2					PMID: 27533782	Secreted Signaling	Sema3c - (NRP1_NRP2)
Neuronal	EC	0.0177402471153566	Sema3c_Plxnd1	Salt-sensitive	LV	SD	LS	Sema3c_Plxnd1	SEMA3	Sema3c	Plxnd1					PMID: 27533782	Secreted Signaling	Sema3c - (Plxnd1)
Immune cell	Immune cell	0.0762978087806536	Ptprc_Mrc1	Salt-sensitive	LV	SD	LS	Ptprc_Mrc1	CD45	Ptprc	Mrc1					PMID: 27601670; PMID: 10575006	Cell-Cell Contact	Ptprc - (Mrc1)
CM	CM	0.157282002803538	Cdh2_Cdh2	Salt-sensitive	LV	SD	LS	Cdh2_Cdh2	CDH	Cdh2	Cdh2					KEGG: mmu04514	Cell-Cell Contact	Cdh2 - (Cdh2)
EC	EC	0.0202083236417882	Jam2_Jam2	Salt-sensitive	LV	SD	LS	Jam2_Jam2	JAM	Jam2	Jam2					KEGG: mmu04514	Cell-Cell Contact	Jam2 - (Jam2)
Neuronal	Fibroblast	0.0284723087312166	Ncam1_Fgfr1	Salt-sensitive	LV	SD	LS	Ncam1_Fgfr1	NCAM	Ncam1	Fgfr1					PMID: 12791257	Cell-Cell Contact	Ncam1 - (Fgfr1)
Neuronal	Neuronal	0.155572663904687	Ncam1_Ncam1	Salt-sensitive	LV	SD	LS	Ncam1_Ncam1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1 - (Ncam1)
Neuronal	Neuronal	0.185213208772429	Ncam1_Ncam2	Salt-sensitive	LV	SD	LS	Ncam1_Ncam2	NCAM	Ncam1	Ncam2					KEGG: mmu04514	Cell-Cell Contact	Ncam1 - (Ncam2)
Pericyte	Neuronal	0.0644295897619371	Lrrc4c_Ntng1	Salt-sensitive	LV	SD	LS	Lrrc4c_Ntng1	NGL	Lrrc4c	Ntng1					KEGG: mmu04514	Cell-Cell Contact	Lrrc4c - (Ntng1)
Pericyte	Pericyte	0.190613526971499	Lrrc4c_Ntng1	Salt-sensitive	LV	SD	LS	Lrrc4c_Ntng1	NGL	Lrrc4c	Ntng1					KEGG: mmu04514	Cell-Cell Contact	Lrrc4c - (Ntng1)
EC	EC	0.184739797471328	Pecam1_Pecam1	Salt-sensitive	LV	SD	LS	Pecam1_Pecam1	PECAM1	Pecam1	Pecam1					KEGG: mmu04514	Cell-Cell Contact	Pecam1 - (Pecam1)
CM	CM	0.165789148161139	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	CM	0.266360673716756	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	CM	0.140989744370355	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	CM	0.0458434299050985	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
CM	EC	0.266360673716756	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	EC	0.398777122606885	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	EC	0.230677340115407	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	EC	0.0806911893390665	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
CM	Fibroblast	0.140989744370355	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	Fibroblast	0.230677340115407	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	Fibroblast	0.119369120366803	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	Fibroblast	0.0381651417488739	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
CM	Neuronal	0.0458434299050985	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	Neuronal	0.0806911893390665	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Fibroblast	Neuronal	0.0381651417488739	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
Neuronal	Neuronal	0.0114820441767566	Ptprm_Ptprm	Salt-sensitive	LV	SD	LS	Ptprm_Ptprm	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm - (Ptprm)
EC	EC	0.0256022510173484	Sema6a_Plxna2	Salt-sensitive	LV	SD	LS	Sema6a_Plxna2	SEMA6	Sema6a	Plxna2					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna2)
EC	CM	0.0139377001891185	Sema6a_Plxna4	Salt-sensitive	LV	SD	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
EC	EC	0.0265908350526431	Sema6a_Plxna4	Salt-sensitive	LV	SD	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
EC	Neuronal	0.0205436597368288	Sema6a_Plxna4	Salt-sensitive	LV	SD	LS	Sema6a_Plxna4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a - (Plxna4)
VSMC	VSMC	0.0837308153928936	Ntf3_Ntrk3	Salt-sensitive	MSA	SS	HS 3d	Ntf3_Ntrk3	NT	Ntf3	Ntrk3			NGFR activation receptor		PMID: 27908981	Secreted Signaling	Ntf3 - (Ntrk3)
Adipocyte	VSMC	0.0125123075337912	Col4a1_ITGA1_ITGB1	Salt-sensitive	MSA	SS	HS 3d	Col4a1_ITGA1_ITGB1	COLLAGEN	Col4a1	ITGA1_ITGB1					KEGG: mmu04512	ECM-Receptor	Col4a1 - (ITGA1_ITGB1)
VSMC	VSMC	0.0224082562599567	Col4a1_ITGA1_ITGB1	Salt-sensitive	MSA	SS	HS 3d	Col4a1_ITGA1_ITGB1	COLLAGEN	Col4a1	ITGA1_ITGB1					KEGG: mmu04512	ECM-Receptor	Col4a1 - (ITGA1_ITGB1)
VSMC	VSMC	0.025923005545107	Col4a2_ITGA1_ITGB1	Salt-sensitive	MSA	SS	HS 3d	Col4a2_ITGA1_ITGB1	COLLAGEN	Col4a2	ITGA1_ITGB1					KEGG: mmu04512	ECM-Receptor	Col4a2 - (ITGA1_ITGB1)
VSMC	VSMC	0.0220992362274276	Col6a2_ITGA1_ITGB1	Salt-sensitive	MSA	SS	HS 3d	Col6a2_ITGA1_ITGB1	COLLAGEN	Col6a2	ITGA1_ITGB1					KEGG: mmu04512	ECM-Receptor	Col6a2 - (ITGA1_ITGB1)
Fibroblast	VSMC	0.0828146979496573	Lama2_ITGA1_ITGB1	Salt-sensitive	MSA	SS	HS 3d	Lama2_ITGA1_ITGB1	LAMININ	Lama2	ITGA1_ITGB1					KEGG: mmu04512	ECM-Receptor	Lama2 - (ITGA1_ITGB1)
