seqnames	idx	name	FDR	MeanDiff	cell	species	control	treatment
105	deviations	105	Tef_105	0.301642116779914	-0.0308845971264632	IC	C57BL/6	Saline 3d	AngII 3d
133	deviations	133	Dbp_133	0.301642116779914	-0.0166329559574183	IC	C57BL/6	Saline 3d	AngII 3d
168	deviations	168	Zfp711_168	0.301642116779914	-0.0134423140762245	IC	C57BL/6	Saline 3d	AngII 3d
299	deviations	299	Foxg1_299	0.301642116779914	-0.0239101949467796	IC	C57BL/6	Saline 3d	AngII 3d
303	deviations	303	Foxj3_303	0.301642116779914	-0.023993668895727	IC	C57BL/6	Saline 3d	AngII 3d
321	deviations	321	Foxo6_321	0.301642116779914	-0.0203406262540355	IC	C57BL/6	Saline 3d	AngII 3d
339	deviations	339	Gm5294_339	0.301642116779914	-0.021069241331485	IC	C57BL/6	Saline 3d	AngII 3d
347	deviations	347	Gm5294_347	0.301642116779914	-0.0186397270779557	IC	C57BL/6	Saline 3d	AngII 3d
363	deviations	363	Foxl1_363	0.301642116779914	-0.021069241331485	IC	C57BL/6	Saline 3d	AngII 3d
373	deviations	373	Foxl1_373	0.301642116779914	-0.0186397270779557	IC	C57BL/6	Saline 3d	AngII 3d
456	deviations	456	Lmx1a_456	0.301642116779914	0.0329952017891593	IC	C57BL/6	Saline 3d	AngII 3d
479	deviations	479	Hoxa1_479	0.301642116779914	0.0399890926718502	IC	C57BL/6	Saline 3d	AngII 3d
485	deviations	485	Irx6_485	0.301642116779914	-0.02399178878548	IC	C57BL/6	Saline 3d	AngII 3d
830	deviations	830	Foxn2_830	0.301642116779914	-0.023993668895727	IC	C57BL/6	Saline 3d	AngII 3d
832	deviations	832	Foxl2_832	0.301642116779914	-0.023993668895727	IC	C57BL/6	Saline 3d	AngII 3d
833	deviations	833	Foxd4_833	0.301642116779914	-0.0207680512305761	IC	C57BL/6	Saline 3d	AngII 3d
834	deviations	834	ENSMUSG00000090020_834	0.301642116779914	-0.023993668895727	IC	C57BL/6	Saline 3d	AngII 3d
399	deviations	399	Nkx21_399	0.306696787042008	0.0246710100535475	IC	C57BL/6	Saline 3d	AngII 3d
110	deviations	110	Atf3_110	0.316676622562344	-0.0290492134230435	IC	C57BL/6	Saline 3d	AngII 3d
515	deviations	515	Lmx1b_515	0.316676622562344	0.0322275769422623	IC	C57BL/6	Saline 3d	AngII 3d
518	deviations	518	Hlx_518	0.316676622562344	0.0322275769422623	IC	C57BL/6	Saline 3d	AngII 3d
539	deviations	539	Prop1_539	0.316676622562344	0.0322275769422623	IC	C57BL/6	Saline 3d	AngII 3d
646	deviations	646	Smarcc2_646	0.316755011710131	0.0179431382367766	IC	C57BL/6	Saline 3d	AngII 3d
