source	target	LR_pair	model	tissue	interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2	value.SD-LS	value.SS-LS	value.SD-HS 3d	value.C57BL/6-Saline 3d	value.SS-HS 21d	value.C57BL/6-AngII 3d	value.SHR-10w	value.WKY-10w	value.C57BL/6-AngII 28d	value.SHR-26w	value.WKY-26w	value.SS-HS 3d	sxt	value	strain	treatment
E/P transition cell	Ependymal cell	NCAM1_NCAM1	AngII	HYP	NCAM1_NCAM1	NCAM	Ncam1	Ncam1					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam1	0	0	0	0.0254977593630924	0	0	0	0	0	0	0	0	C57BL/6-AngII 28d	-0.0254977593630924	C57BL/6	AngII 28d
EC6	EC7	COL4A1_ITGA9_ITGB1	Salt-sensitive	LV	COL4A1_ITGA9_ITGB1	COLLAGEN	Col4a1	ITGA9_ITGB1					KEGG: mmu04512	ECM-Receptor	Col4a1  - (Itga9+Itgb1)	0.0414173910370364	0.0345089175364071	0	0	0.00900311237926198	0	0	0	0	0	0	0	SS-HS 21d	-0.0255058051571451	SS	HS 21d
EC8	EC10	LAMC1_ITGA1_ITGB1	Salt-sensitive	LV	LAMC1_ITGA1_ITGB1	LAMININ	Lamc1	ITGA1_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamc1  - (Itga1+Itgb1)	0.0255165643115067	0	0	0	0.0183838498867951	0	0	0	0	0	0	0.0447345985290951	SD-HS 3d	-0.0255165643115067	SD	HS 3d
EC14	EC11	PECAM1_PECAM1	Salt-sensitive	LV	PECAM1_PECAM1	PECAM1	Pecam1	Pecam1					KEGG: mmu04514	Cell-Cell Contact	Pecam1  - Pecam1	0.0955140324426321	0.0887102138407824	0.071826668670047	0	0.0631864000960798	0	0	0	0	0	0	0.0872978388132752	SS-HS 21d	-0.0255238137447026	SS	HS 21d
EC11	EC14	PECAM1_PECAM1	Salt-sensitive	LV	PECAM1_PECAM1	PECAM1	Pecam1	Pecam1					KEGG: mmu04514	Cell-Cell Contact	Pecam1  - Pecam1	0.0955140324426321	0.0887102138407824	0.071826668670047	0	0.0631864000960798	0	0	0	0	0	0	0.0872978388132752	SS-HS 21d	-0.0255238137447026	SS	HS 21d
Inhibitory neuron	Astrocyte	NRXN3_NLGN1	Salt-sensitive	HYP	NRXN3_NLGN1	NRXN	Nrxn3	Nlgn1					KEGG: mmu04514	Cell-Cell Contact	Nrxn3  - Nlgn1	0.378365120440908	0.405761590975702	0.356302060141276	0	0.365806859209859	0	0	0	0	0	0	0.380218177291385	SS-HS 3d	-0.025543413684317	SS	HS 3d
PT	EC5	SEMA6A_PLXNA2	Salt-sensitive	LK	SEMA6A_PLXNA2	SEMA6	Sema6a	Plxna2					PMID: 27533782	Cell-Cell Contact	Sema6a  - Plxna2	0	0.0458582437171828	0.0152129850980905	0	0.020301289011168	0	0	0	0	0	0	0.0218679309104415	SS-HS 21d	-0.0255569547060148	SS	HS 21d
EC2	EC15	LAMC1_ITGA6_ITGB1	Salt-sensitive	LV	LAMC1_ITGA6_ITGB1	LAMININ	Lamc1	ITGA6_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamc1  - (Itga6+Itgb1)	0.0255711429740239	0	0	0	0.0285980095377247	0	0	0	0	0	0	0	SD-HS 3d	-0.0255711429740239	SD	HS 3d
EC2	EC8	COL4A1_ITGA9_ITGB1	Salt-sensitive	LV	COL4A1_ITGA9_ITGB1	COLLAGEN	Col4a1	ITGA9_ITGB1					KEGG: mmu04512	ECM-Receptor	Col4a1  - (Itga9+Itgb1)	0.0256041804672803	0	0	0	0.0139988226081452	0	0	0	0	0	0	0	SD-HS 3d	-0.0256041804672803	SD	HS 3d
Pars tuberalis cell	OPC	CADM1_CADM1	Salt-sensitive	HYP	CADM1_CADM1	CADM	Cadm1	Cadm1					PMID: 24503895	Cell-Cell Contact	Cadm1  - Cadm1	0.0502442081550167	0.0509417615729114	0.0407887322927916	0	0.0253175371354496	0	0	0	0	0	0	0.045054800158742	SS-HS 21d	-0.0256242244374618	SS	HS 21d
OPC	Pars tuberalis cell	CADM1_CADM1	Salt-sensitive	HYP	CADM1_CADM1	CADM	Cadm1	Cadm1					PMID: 24503895	Cell-Cell Contact	Cadm1  - Cadm1	0.0502442081550167	0.0509417615729114	0.0407887322927916	0	0.0253175371354496	0	0	0	0	0	0	0.045054800158742	SS-HS 21d	-0.0256242244374618	SS	HS 21d
Inhibitory neuron	Fibroblast	NRG3_ERBB4	AngII	HYP	NRG3_ERBB4	NRG	Nrg3	Erbb4					KEGG: mmu04012	Secreted Signaling	Nrg3  - Erbb4	0	0	0	0.0336251097590461	0	0	0	0	0.00798973072430484	0	0	0	C57BL/6-AngII 28d	-0.0256353790347413	C57BL/6	AngII 28d
CT	EC7	EFNA5_EPHA4	Spontaneous	LK	EFNA5_EPHA4	EPHA	Efna5	Epha4					PMID: 15114347	Cell-Cell Contact	Efna5  - Epha4	0	0	0	0	0	0	0	0.0256623969590767	0	0	0	0	WKY-26w	-0.0256623969590767	WKY	26w
EC3	PT	LAMA4_ITGAV_ITGB8	AngII	LK	LAMA4_ITGAV_ITGB8	LAMININ	Lama4	ITGAV_ITGB8					KEGG: mmu04512	ECM-Receptor	Lama4  - (Itgav+Itgb8)	0	0	0	0.0256744534936118	0	0	0	0	0	0	0	0	C57BL/6-AngII 3d	-0.0256744534936118	C57BL/6	AngII 3d
EC3	PT	LAMA4_ITGAV_ITGB8	AngII	LK	LAMA4_ITGAV_ITGB8	LAMININ	Lama4	ITGAV_ITGB8					KEGG: mmu04512	ECM-Receptor	Lama4  - (Itgav+Itgb8)	0	0	0	0.0256744534936118	0	0	0	0	0	0	0	0	C57BL/6-AngII 28d	-0.0256744534936118	C57BL/6	AngII 28d
EC15	CD	PTPRM_PTPRM	Salt-sensitive	LK	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0.0990256050318155	0.0924010074696548	0	0.0857629546145544	0	0	0	0	0	0	0.0733138217808714	SS-HS 3d	-0.0257117832509441	SS	HS 3d
CD	EC15	PTPRM_PTPRM	Salt-sensitive	LK	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0.0990256050318155	0.0924010074696548	0	0.0857629546145544	0	0	0	0	0	0	0.0733138217808714	SS-HS 3d	-0.0257117832509441	SS	HS 3d
EC1	EC15	LAMC1_ITGA6_ITGB1	Salt-sensitive	LV	LAMC1_ITGA6_ITGB1	LAMININ	Lamc1	ITGA6_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamc1  - (Itga6+Itgb1)	0.0257161491557072	0	0	0	0.0319807368838414	0	0	0	0	0	0	0	SD-HS 3d	-0.0257161491557072	SD	HS 3d
Inhibitory neuron	Excitatory neuron	SEMA6A_PLXNA4	Salt-sensitive	HYP	SEMA6A_PLXNA4	SEMA6	Sema6a	Plxna4					PMID: 27533782	Cell-Cell Contact	Sema6a  - Plxna4	0.0206539397606738	0.0257244738801743	0.0241924118805161	0	0	0	0	0	0	0	0	0.0161042241642091	SS-HS 21d	-0.0257244738801743	SS	HS 21d
Myelinating OL	Inhibitory neuron	NCAM1_NCAM2	Salt-sensitive	HYP	NCAM1_NCAM2	NCAM	Ncam1	Ncam2					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam2	0.251872609856808	0.262573620668425	0.245206067365468	0	0.22315732892671	0	0	0	0	0	0	0.23684692513915	SS-HS 3d	-0.025726695529275	SS	HS 3d
EC5	EC2	PECAM1_PECAM1	Spontaneous	LV	PECAM1_PECAM1	PECAM1	Pecam1	Pecam1					KEGG: mmu04514	Cell-Cell Contact	Pecam1  - Pecam1	0	0	0	0	0	0	0.246117624312122	0.0899062606301235	0	0.220378210638866	0.197170879530185	0	SHR-26w	-0.025739413673256	SHR	26w
EC2	EC5	PECAM1_PECAM1	Spontaneous	LV	PECAM1_PECAM1	PECAM1	Pecam1	Pecam1					KEGG: mmu04514	Cell-Cell Contact	Pecam1  - Pecam1	0	0	0	0	0	0	0.246117624312122	0.0899062606301235	0	0.220378210638866	0.197170879530185	0	SHR-26w	-0.025739413673256	SHR	26w
Astrocyte	Inhibitory neuron	NRG3_ERBB4	Salt-sensitive	HYP	NRG3_ERBB4	NRG	Nrg3	Erbb4					KEGG: mmu04012	Secreted Signaling	Nrg3  - Erbb4	0.165749846588482	0.142526275503618	0.140000396917866	0	0.106537921935032	0	0	0	0	0	0	0.17630500389331	SD-HS 3d	-0.025749449670616	SD	HS 3d
EC1	DCT	LAMC1_ITGAV_ITGB8	Salt-sensitive	LK	LAMC1_ITGAV_ITGB8	LAMININ	Lamc1	ITGAV_ITGB8					KEGG: mmu04512	ECM-Receptor	Lamc1  - (Itgav+Itgb8)	0	0.0413811909815497	0	0	0.0156171648913932	0	0	0	0	0	0	0	SS-HS 21d	-0.0257640260901565	SS	HS 21d
EC8	EC11	SEMA6A_PLXNA2	Spontaneous	LV	SEMA6A_PLXNA2	SEMA6	Sema6a	Plxna2					PMID: 27533782	Cell-Cell Contact	Sema6a  - Plxna2	0	0	0	0	0	0	0.0257752198674209	0.0545849742058716	0	0	0	0	SHR-26w	-0.0257752198674209	SHR	26w
Tanycyte	Astrocyte	NRXN1_NLGN1	Salt-sensitive	HYP	NRXN1_NLGN1	NRXN	Nrxn1	Nlgn1					KEGG: mmu04514	Cell-Cell Contact	Nrxn1  - Nlgn1	0.325515240766436	0.283057478391457	0.301375279817126	0	0.257278417937209	0	0	0	0	0	0	0.312852898242178	SS-HS 21d	-0.025779060454248	SS	HS 21d
EC10	EC7	SEMA6A_PLXNA2	Spontaneous	LV	SEMA6A_PLXNA2	SEMA6	Sema6a	Plxna2					PMID: 27533782	Cell-Cell Contact	Sema6a  - Plxna2	0	0	0	0	0	0	0.0257799334436148	0	0	0	0	0	SHR-26w	-0.0257799334436148	SHR	26w
