trait	strain	treatment	tissue	cell_type	X.SNP.genes	X.DEG	expr.genes	X.SNP.DEG	X.SNP.not.DEG	X.DEG.not.SNP	X.neither	p.value	gene_list	NES	p.adj	cell_group	consensus_cluster	cluster_use
pulse_pressure	SHR	26w	HYP	Premyelinating OL	2272	203	7197	38	2234	165	17931	0.000948496388616402	Trappc9, Jazf1, Xpr1, Celf1, Arhgap12, Camk2g, Setbp1, Usp34, Cnnm2, Mast2, Col9a2, Stat5b, Sorbs1, Msi2, Dpysl5, Map1b, Fdft1, Cyp51, Ctnna2, Ldlr, Bcat1, Etl4, Cdh8, Ncam2, Sgip1, Xkr6, Vmp1, Dgki, Ppp6r2, Dusp26, Ank2, RragB, Grip2, Psmc3, Kat8, Trpm3, Prpf40b, Spire1	7.6469016076946	0.0150969008521444	SHR_26w_HYP_Premyelinating OL	3	3
pulse_pressure	SHR	26w	HYP	NFO	2272	2	8836	0	2272	2	18262	1		0	1	SHR_26w_HYP_NFO	3	3
pulse_pressure	SHR	26w	HYP	Microglia	2272	1020	8741	133	2139	887	17307	0.0262898471425716	Arl3, Gck, Ttc8, Pde1a, Cfap69, Jazf1, Tpm1, Tango2, Cdh13, Prkce, Atp2b1, Nebl, Sik3, Klhl29, Sox6, Limk1, Atp1b1, Pnkd, Sntg1, Cacnb2, Sox5, Slc24a3, Eml1, Htr4, Mfsd13a, Tacc2, Mast2, Celf2, Ncam1, Ralgps2, Bend5, Frmd3, Syt1, Flrt2, Disp2, Rpgrip1l, Clec16a, Carmil1, Nrg1, Fermt2, Kcnq5, Phactr1, Arid1b, Sorbs1, Msi2, Cdh11, Hadha, Col4a1, Sptbn4, Cc2d2a, Map1b, Zfpm2, Zfp618, Stxbp1, Itih3, Cdh2, Fat3, AABR07032097.1, Cadm2, Mpped2, Trank1, Zfp385b, Gpc5, Palldl1, Gap43, Atxn1, Ctnna2, Bcat1, Etl4, Fkbp5, Syn2, Sorcs3, Megf8, Ddhd2, Ncam2, Stk25, Reep1, Cadm1, Sgip1, Hdac9, Nyap2, Asap2, Slc22a17, Usp36, Xkr6, Dgki, Ppp6r2, Kcne2, Myt1, Mrtfb, Zfp423, Olfm3, Ddhd1, Cacna1d, Ppargc1a, Pkd1, Dlgap1, Gpc6, Ckap5, Cacna1c, Sgk1, Iqsec3, Tmem132b, Slit3, Khdrbs3, Ank2, RragB, Snap25, Epb41l1, Fhod3, Ccdc30, Adcy5, Strbp, Ptprd, Ralgapa1, Snrnp70, Gabbr2, Stx1b, Bcl7c, Lrrc49, Odf2, Trpm3, Unc5d, Grb10, Prpf40b, Pld3, Rph3a, Sptssa, Khdrbs2, Mcf2l, Farp1, Dync2h1, Psmd11	3.89951091786115	0.164335444502111	SHR_26w_HYP_Microglia	1	1
pulse_pressure	SHR	26w	HYP	OPC	2272	215	8796	20	2252	195	18013	0.828457408410768	Ebf1, Rgs7bp, Pde1a, Atp2b1, Htr4, Bend5, Nrg1, Fat3, Ctnna2, Bcat1, Sorcs3, Cdh8, Sgip1, Cacna1d, Ppargc1a, Gpc6, Trpm3, Unc5d, Khdrbs2, Mcf2l	0.205003592935698	1	SHR_26w_HYP_OPC	3	3
pulse_pressure	SHR	26w	HYP	Astrocyte	2272	639	8691	67	2205	572	17669	0.704171524678922	Atf6b, Gnl3, Cdk14, Jazf1, Prkce, RGD1304728, Atp2b1, Sox6, Clip2, Usp34, Mfsd13a, Ralgps2, Kansl1, Bend5, Ensa, Cers2, Enpp2, Gpatch4, Hdgf, Cct8, Nav1, Phactr1, Ctbp1, Qsox2, Snx32, Stxbp1, Itih3, Cadm2, Gpc5, Ap3d1, Zbtb20, Arhgap24, Ctnna2, Etl4, Fkbp5, Sra1, Ncam2, Stk25, Os9, Trps1, Ppil2, Xkr6, Dgki, Plxnb2, Dnaja3, Acap3, Trappc6b, Cacna1d, Ppargc1a, Gnb2, Apoe, Ckap5, Nudt2, Kif21b, Khdrbs3, Letm2, Slc12a2, Zfhx3, Ptprd, Snrnp70, Stx1b, Dlc1, Trpm3, Chd3, Mcf2l, Dnajc11, Psmd11	0.387882637680242	1	SHR_26w_HYP_Astrocyte	5	7
pulse_pressure	SHR	26w	HYP	Tanycyte	2272	319	9352	37	2235	282	18127	0.388359608079146	Cdk14, Jazf1, Arvcf, Pitpnm3, RGD1304728, Sntg1, Zfhx4, Usp34, Celf2, Bend5, Ensa, Clec16a, Enpp2, Msi2, Map1b, Stxbp1, Gpc5, Zbtb20, Atxn1, Ctnna2, Etl4, Cchcr1, Cdh8, Megf8, Ncam2, Slc22a17, Cpne5, Map2k2, Dgki, Pkd1, Tmem132b, Ank2, Ptprd, Cers5, Snrnp70, Mcf2l, Traf3	0.993760686476918	0.842916876626328	SHR_26w_HYP_Tanycyte	5	7
pulse_pressure	SHR	26w	HYP	EC	2272	6	7901	1	2271	5	18132	0.507481700511931	Etl4	1.18965373739499	0.987339010142138	SHR_26w_HYP_EC	3	3
pulse_pressure	SHR	26w	HYP	Pars tuberalis cell	2272	149	9261	22	2250	127	18156	0.0969397304387949	Bcl11b, Sntg1, Celf2, Ncam1, Frmd3, Kcnq5, Pbx3, Cadm2, Trank1, Zfp385b, Ndrg4, Bcat1, Syn2, Reep1, Pcbp3, Dgki, Olfm3, Ppargc1a, Dlgap1, Cacna1c, Iqsec3, Fgf9	2.77748377560406	0.371962938893501	SHR_26w_HYP_Pars tuberalis cell	1	1
pulse_pressure	SHR	26w	LK	DCT	2272	433	8600	64	2208	369	17961	0.00916138342261368	Foxn3, Prkce, Prrt1, Gsn, Sdccag8, Ubn1, Fer, Armh3, Cnnm2, Wbp1l, Slk, Tacc2, Inpp5a, Trak1, Zscan26, Igfbp5, Clec16a, Gulp1, Casz1, Phactr1, Msi2, Bckdha, Hoxd8, Hoxd9, Rptor, Acss3, Septin9, Cadm2, Zfp318, Zbtb20, Lrch1, Trip10, Capza2, Fryl, Cntln, Foxo3, Tns1, B4galnt1, Cyth1, Plpp3, Prdm16, Ski, Creb3l2, Slc5a3, Ankrd11, Lrp12, Hoxa3, Nfatc2, Plekha7, Npas2, Fbxo32, Vps25, Ank2, Epb41l1, Mtss2, Zfhx3, Ptprd, Ppp1r1a, Ahdc1, Cxcl12, Acer3, Mcf2l, Farp1, Hoxb3	5.07729945225595	0.0813584815313478	SHR_26w_LK_DCT	4	5
pulse_pressure	SHR	26w	LK	PT	2272	2216	9290	258	2014	1958	16587	0.130190405106535	Zfp518b, As3mt, Bag6, AABR07044388.2, Gnl3, Nfib, Foxn3, Zc2hc1c, Prkag2, Cdk14, Jazf1, Rps27l, Csnk1g2, Oaz1, Dot1l, Mknk2, Xpr1, Slc43a2, RGD1304728, Prrt1, Slc44a4, Fkbp1b, Mypn, Sirt1, Kif5b, Sox6, Folh1, Znf740, Hoxc9, Pax2, Atp1b1, Sdccag8, Adk, Chchd1, Cacnb2, Fam76b, Ubn1, Tcf7l1, Fer, Gpr63, Trim8, Slk, Ccdc17, Ifitm2, Rnf213, Trak1, Slco4c1, Adra2b, Zscan26, Ndufs3, Syt1, Csk, Unkl, Cacna1h, Fbrsl1, Ccdc6, Bnc2, Slc25a44, Cct3, Lmna, Hdgf, Nrg1, Ddah1, Crb1, Stat5b, Sorbs1, Arhgap27, Mthfr, Cdh11, Pgpep1, Rexo1, Tmem214, Emilin1, Uvssa, Ctbp1, Sugct, Nr2f2, Cep164, Esr1, Entr1, Gigyf1, Ccdc181, Scaf11, Hexim1, Dcakd, Mapk4, Slc39a8, Mettl27, Ctsb, Jag1, Stxbp1, Fpgs, Nisch, Phf7, Nox4, Acss3, Bmpr1b, Septin9, Rapgef3, Zfp641, Gpc5, Dnm2, Ap3d1, Zfp318, Zbtb20, Atxn1, Kdm4b, Arl15, Pdgfc, Agtrap, H6pd, Slain2, Slc22a5, Cchcr1, Fkbp5, Trip10, Ube2l3, Washc2c, Cbx1, Skap1, Pde5a, Zfp78, Man2a2, Plpp5, Glyat, Capza2, Pyroxd2, Ddx5, Cep95, Rab20, Cadm1, Col27a1, Ambp, Prrc2a, Bmp4, Plekhm2, Hdac9, Tbx2, Cntrl, Smc4, Spsb1, Foxo3, Tns1, Asap2, Trps1, Gjc3, Manba, Fam133b, Wdr81, Ctsh, Usp36, Tet2, Prdm16, Slc1a4, Ski, Abhd17c, Map2k2, Itga9, Creb3l2, Nol8, Cenpp, Plxnb2, Dnajc8, Atp5if1, Kmt5a, Ankrd11, Fbxl7, Prag1, Dvl1, Notch1, Spg7, Zfp276, Dele1, Atp13a1, AC109542.1, Pmfbp1, Angpt1, Ppargc1a, Hoxa3, Hoxa9, Hoxa7, Gnb2, Fbf1, Brpf3, Rps15, Nfatc2, Vasn, Bcl6, Odf2l, Pkd1, Slc35e3, Plekha7, Lpin2, Gpc6, Akr1a1, Elp5, Cyp2d3, Trim59, Dlgap4, Rnf215, Lats2, Prdx5, Fkbp2, Plcb4, Dynlrb1, Myh7b, Cep250, Epb41l1, Fhod3, Zfhx3, Kdm6b, Pdgfra, Slc6a6, Lpp, Enpep, Dsp, Mad1l1, Ptprd, Psmc3, Samd4a, Abhd2, Rpl13, Nomo1, Cdk5rap2, Eftud2, Smad7, Ppp1r1a, Atf1, Snrnp70, Ankrd13a, Slc7a1, Uqcr10, Ahdc1, Fosl2, Ldb1, Cited2, Alg12, Creld2, Ndufa2, Acly, Jup, Tp53, Trpm3, Dnajc12, Cxcl12, Chd3, Itga3, Spop, Prx, Ell, Htatsf1, Commd7, Casp8ap2, Gfod1, Mcf2l, Dnajc11, Epb41l2, Hoxb3	2.0707682281733	0.448825604869869	SHR_26w_LK_PT	4	5
